,image,missed_detections,false_positives,matches,image_with_boxes,human_boxes,model_boxes
25,557703.jpg,"    prediction_id  x_min  x_max  y_min  y_max  spore_type_id  \
18        1429479   2615   2821    818    977              3   
21        1429487   3937   4077   1536   1768              3   

    microscope_image_id  
18               557703  
21               557703  ","    x_center_normalised  y_center_normalised  width_normalised  \
14             0.026457             0.921153          0.052861   
20             0.486499             0.782097          0.046762   
22             0.144105             0.270574          0.049291   
25             0.987818             0.261478          0.024364   

    height_normalised  confidence        x_min        y_min        x_max  \
14           0.072002    0.623642     0.108707  2690.861902   214.511750   
20           0.071615    0.345012  1878.405777  2268.720870  2068.071304   
22           0.067519    0.269810   484.527931   719.917300   684.452090   
25           0.043256    0.251146  3957.177840   729.144865  4055.999864   

          y_max  
14  2909.749117  
20  2486.430593  
22   925.174997  
25   860.644316  ",20,output_images_run_5/557703.jpg,"[[1736, 1580, 2052, 1724], [3104, 852, 3288, 1096], [2504, 788, 2844, 1180], [376, 656, 568, 920], [2692, 1044, 2812, 1292], [2816, 724, 3116, 908], [2076, 2672, 2216, 3032], [1976, 96, 2284, 416], [240, 932, 496, 1036], [3300, 1076, 3524, 1204], [3128, 1052, 3356, 1376], [96, 376, 360, 704], [1960, 1108, 2220, 1476], [2805, 1035, 3024, 1151], [1505, 2565, 1658, 2874], [3626, 2681, 3903, 2829], [2022, 2209, 2188, 2417], [3586, 2789, 3921, 2927], [2615, 818, 2821, 977], [1536, 1589, 1795, 1752], [1874, 2114, 2038, 2283], [3937, 1536, 4077, 1768]]","[[1979.5026006102562, 104.66887891292563, 2279.376502096653, 404.4417577981947], [1958.3322309851646, 1110.6369012594223, 2224.7489753365517, 1476.528521180153], [3131.9704067856073, 1057.8171283006666, 3362.517038092017, 1378.5008591413496], [2820.8031629920006, 714.5548659563063, 3140.6181026101112, 912.6981133222579], [2077.9699756354094, 2662.073427438736, 2214.570326641202, 3025.7833993434906], [1866.518318027258, 2134.6784791350365, 2044.0272280275822, 2297.0017233490944], [96.28305271267888, 379.2037135362624, 383.00906047224964, 713.011171221733], [3105.9719419777393, 853.0429697036743, 3275.786892861128, 1100.3062868118286], [2688.973822429776, 1042.459115386009, 2808.075389072299, 1293.364763855934], [1501.9632971584797, 2574.7338950634003, 1655.7626092135906, 2858.887473344803], [2497.8922601938248, 786.4106678962708, 2842.210121512413, 1165.518720149994], [1571.173579886556, 1581.0988566279411, 1807.38208656013, 1702.0516255497932], [236.77034863829599, 926.989843249321, 504.0361718237398, 1037.7533322572706], [3285.425344347954, 1075.9745502471922, 3528.8372107744217, 1206.709175109863], [0.10870729386793823, 2690.861901640892, 214.51175017654867, 2909.7491174936295], [2013.0202270746233, 2228.340223431587, 2176.025110602379, 2416.1263674497604], [3578.9855195581913, 2779.499333500862, 3902.077074855566, 2930.403143763542], [1760.3391921222208, 1579.8810976743698, 2055.6123779118057, 1719.7689229249954], [365.3746960759164, 660.1509004831313, 573.1532952189444, 936.2659639120101], [2780.582061097026, 993.5710641741751, 3020.154336646199, 1152.2397688031194], [1878.4057767838242, 2268.7208700180054, 2068.07130356133, 2486.4305925369263], [372.5007088780402, 658.779740333557, 682.3649534583088, 928.301978111267], [484.52793060243096, 719.9172997474672, 684.4520896822211, 925.1749968528746], [2765.4286692738533, 938.356401324272, 3019.851755797863, 1158.5332947969434], [3631.7352938354015, 2686.7620053887363, 3900.568544894457, 2815.6794962286945], [3957.177839845419, 729.1448649764062, 4055.999864012003, 860.6443157792091]]"
26,557723.jpg,"Empty DataFrame
Columns: [prediction_id, x_min, x_max, y_min, y_max, spore_type_id, microscope_image_id]
Index: []","    x_center_normalised  y_center_normalised  width_normalised  \
8              0.591150             0.040152          0.045912   
11             0.586913             0.207221          0.091409   
12             0.988324             0.233039          0.023352   
15             0.512145             0.016149          0.048575   

    height_normalised  confidence        x_min       y_min        x_max  \
8            0.080239    0.786273  2304.596904    0.099195  2490.814682   
11           0.065433    0.597521  2195.139463  530.492683  2565.895325   
12           0.067755    0.575953  3961.284666  605.450234  4055.999996   
15           0.031847    0.254538  1978.748222    0.684521  2175.769461   

         y_max  
8   244.024752  
11  729.408831  
12  811.424117  
15   97.498767  ",12,output_images_run_5/557723.jpg,"[[3052, 756, 3320, 924], [2664, 1776, 2792, 2164], [2772, 1880, 3004, 2148], [2708, 1152, 2828, 1508], [1376, 864, 1560, 1060], [2464, 20, 2608, 260], [3076, 2248, 3200, 2616], [1304, 2008, 1600, 2192], [3547, 1031, 3898, 1152], [2924, 593, 3204, 936], [1956, 1025, 2059, 1234], [1673, 2331, 1805, 2558]]","[[2767.405345469713, 1876.6224074363708, 3014.6814770400524, 2151.6161942481995], [1304.1987483501432, 2002.007429599762, 1603.5705821514127, 2191.388909816742], [3540.0070382058616, 1031.7392590641975, 3872.6965054571624, 1160.2872416377065], [1373.5739014148714, 868.0418819189072, 1565.4436576366422, 1056.481834053993], [3080.7054892256856, 2258.166011571884, 3197.915697030723, 2613.9807283878326], [2660.3674251437187, 1772.0937418937683, 2784.214836895466, 2168.921158313751], [2705.536850720644, 1162.0705652236938, 2826.459704607725, 1503.9863443374634], [2443.933341085911, 0.001981854438845021, 2598.9106416106224, 261.2905770540237], [2304.596904024482, 0.0991946458814208, 2490.8146817833185, 244.02475178241704], [2928.611402437091, 616.2619864940642, 3163.740799024701, 946.4204990863799], [1954.8717104271054, 1029.066875576973, 2056.1826246902347, 1220.10606944561], [2195.1394625902176, 530.4926830530168, 2565.895324587822, 729.408831000328], [3961.284666024149, 605.450234413147, 4055.999996222556, 811.4241170883179], [1676.9661334678533, 2340.0550478696823, 1787.9860316589472, 2564.784544110298], [3053.823884367943, 769.2598581314086, 3349.1732536554337, 921.002230644226], [1978.7482223063707, 0.6845211982726102, 2175.769460722804, 97.49876737594596]]"
27,584293.jpg,"   prediction_id  x_min  x_max  y_min  y_max  spore_type_id  \
1        1445331   1136   1496   2272   2380              3   

   microscope_image_id  
1               584293  ","    x_center_normalised  y_center_normalised  width_normalised  \
10             0.014832             0.697098          0.029525   
12             0.740014             0.441383          0.055006   

    height_normalised  confidence        x_min        y_min        x_max  \
10           0.105983    0.330402     0.282957  1958.084564   120.035831   
12           0.054657    0.253633  2889.944009  1258.724174  3113.047277   

          y_max  
10  2280.273553  
12  1424.882136  ",11,output_images_run_5/584293.jpg,"[[1980, 1460, 2220, 1604], [1136, 2272, 1496, 2380], [1152, 1616, 1568, 1716], [2688, 2352, 2924, 2468], [1946, 1985, 2056, 2220], [3623, 933, 3725, 1255], [2966, 2295, 3089, 2515], [1707, 1066, 1801, 1306], [3638, 1035, 3882, 1235], [1644, 634, 1958, 890], [3732, 2275, 3882, 2499], [344, 868, 600, 1072]]","[[1651.295373290777, 635.7024836540222, 1958.3750974237917, 898.4682965278625], [1971.8201400339606, 1464.2843526601794, 2217.7227323949337, 1605.0454622507095], [335.85588732361794, 869.917882680893, 605.9268104732033, 1069.6255266666412], [1201.9704666137693, 1611.6326141357422, 1565.558371067047, 1713.5319137573242], [2683.6072223335505, 2349.2119628190994, 2927.2744591087103, 2474.9390190839767], [3601.17761233449, 927.9893320798873, 3709.8214149177074, 1247.4102479219434], [1697.7971374914048, 1072.4349808692932, 1800.0164969041941, 1310.5924582481384], [3642.442150130868, 1033.0211621522903, 3878.92946241796, 1246.8654078245163], [1947.0627810135484, 1979.4909811019897, 2051.9786766394973, 2219.4895219802856], [2956.644534766674, 2294.0040892362595, 3079.699468910694, 2518.1881791353226], [0.2829570248722115, 1958.084563612938, 120.0358306244012, 2280.2735525369644], [3713.694526836276, 2286.064451932907, 3864.456003025174, 2497.077409029007], [2889.9440087378025, 1258.7241736054418, 3113.047276586294, 1424.8821362853048]]"
28,558275.jpg,"   prediction_id  x_min  x_max  y_min  y_max  spore_type_id  \
9        1424072   3103   3298   3012   3205              3   

   microscope_image_id  
9               558275  ","Empty DataFrame
Columns: [x_center_normalised, y_center_normalised, width_normalised, height_normalised, confidence, x_min, y_min, x_max, y_max]
Index: []",11,output_images_run_5/558275.jpg,"[[1190, 669, 1504, 799], [2533, 1316, 2791, 1408], [2506, 2113, 2731, 2223], [836, 630, 1142, 727], [2237, 683, 2475, 836], [3195, 962, 3509, 1094], [1438, 1712, 1586, 1931], [2781, 1904, 3111, 2028], [1195, 2730, 1562, 2880], [3103, 3012, 3298, 3205], [2612, 1179, 2842, 1303], [1762, 1986, 2032, 2150]]","[[1765.7204940319064, 1988.622228205204, 2019.1578791141508, 2161.253946721554], [1170.8067168295381, 667.3073542118071, 1492.07760438323, 808.2712924480437], [3216.8177075386047, 959.2170161008835, 3515.2249331474304, 1092.4485284090042], [2223.0234160870314, 678.7910625338553, 2465.220924809575, 833.8146951794623], [2535.2809360921383, 1306.2402096390724, 2773.1315280497074, 1406.076761186123], [2620.4445751458406, 1181.3928928971288, 2824.7560998648405, 1298.2649669051168], [1210.333426237106, 2729.6783044934273, 1566.3359806537626, 2870.5974981188774], [1443.6975021958349, 1716.9727981090546, 1569.9833902716634, 1917.57266163826], [824.8994126915932, 633.148218691349, 1116.528573453426, 746.2337955832481], [2785.7081210911274, 1918.7501776218414, 3058.4351617991924, 2025.4324281215668], [2509.4636148512363, 2103.1136137247086, 2722.4662986695766, 2220.0296396017075]]"
29,485540.jpg,"Empty DataFrame
Columns: [prediction_id, x_min, x_max, y_min, y_max, spore_type_id, microscope_image_id]
Index: []","    x_center_normalised  y_center_normalised  width_normalised  \
10             0.953719             0.902910          0.064963   
14             0.536125             0.661260          0.074189   
15             0.893070             0.714128          0.073675   
18             0.870958             0.204050          0.049918   

    height_normalised  confidence        x_min        y_min        x_max  \
10           0.035388    0.759141  3736.541288  2691.057369  4000.031269   
14           0.046507    0.543428  2024.068481  1939.541201  2324.978521   
15           0.051394    0.480338  3472.878392  2092.830819  3771.705790   
18           0.068182    0.367888  3431.372241   516.676723  3633.840751   

          y_max  
10  2798.637207  
14  2080.922189  
15  2249.067890  
18   723.950294  ",15,output_images_run_5/485540.jpg,"[[2808, 212, 3020, 304], [988, 368, 1144, 600], [1080, 76, 1380, 236], [2040, 2220, 2260, 2484], [1248, 352, 1444, 620], [1600, 664, 1812, 868], [2888, 1004, 3180, 1188], [2288, 2356, 2608, 2560], [1460, 1888, 1664, 2276], [72, 416, 328, 524], [668, 664, 1064, 788], [780, 1244, 1104, 1376], [2372, 1100, 2716, 1332], [1400, 820, 1620, 1124], [2720, 1264, 2964, 1488]]","[[2291.777912378311, 2359.877102971077, 2606.326490163803, 2558.418623805046], [2364.6160148978233, 1092.0619648694992, 2709.210022509098, 1333.8838797807693], [662.1367086768148, 661.1017262935638, 1065.7857704758642, 788.5701191425323], [1255.6107885092497, 352.9114019870756, 1453.359320953488, 621.3631665706632], [783.666310787201, 1244.8629081249237, 1121.0202569961546, 1370.8564388751984], [1598.5760754346848, 661.3120180368423, 1823.0252920389175, 861.7063802480694], [2719.77377410233, 1262.975970506668, 2968.85677818954, 1485.0792491436005], [1400.2687380909917, 815.4114043712616, 1630.7767941355703, 1132.313643693924], [2883.96901345253, 1002.6785007119178, 3179.4550960063934, 1188.33329051733], [992.098574012518, 362.8213876485824, 1143.4965797960756, 600.5417019128796], [3736.5412884950633, 2691.057369112968, 4000.0312689542766, 2798.637207150459], [76.0546568334099, 411.76165223121643, 337.725873380899, 526.8340098857879], [1465.0480785816908, 1890.6682288646698, 1671.2620753794909, 2353.6781227588654], [1088.403173267841, 79.60732161998747, 1381.4308950304983, 235.8809834718703], [2024.0684812366962, 1939.5412009954453, 2324.978520601988, 2080.9221893548965], [3472.8783917427063, 2092.830818593502, 3771.705790042877, 2249.067889750004], [2811.642278686166, 210.4800420999527, 3022.507276520133, 309.40730750560755], [2086.364983096719, 2269.970106482506, 2264.577872738242, 2484.44569170475], [3431.372241050005, 516.6767227649686, 3633.8407506644726, 723.9502942562101]]"
30,563508.jpg,"Empty DataFrame
Columns: [prediction_id, x_min, x_max, y_min, y_max, spore_type_id, microscope_image_id]
Index: []","Empty DataFrame
Columns: [x_center_normalised, y_center_normalised, width_normalised, height_normalised, confidence, x_min, y_min, x_max, y_max]
Index: []",12,output_images_run_5/563508.jpg,"[[2584, 1484, 3052, 1629], [2062, 848, 2385, 975], [1957, 2650, 2100, 2936], [1976, 1406, 2208, 1539], [2996, 252, 3394, 364], [1802, 2871, 2069, 2995], [2162, 1468, 2391, 1611], [1972, 2660, 2096, 2908], [2160, 1488, 2392, 1608], [1956, 1404, 2188, 1544], [3004, 248, 3400, 368], [2716, 1500, 3048, 1640]]","[[2995.925468534231, 249.15195077657702, 3388.129568964243, 369.14464145898813], [2568.3689462542534, 1487.7807545661926, 3045.9021604657173, 1636.7365717887878], [1964.301537439227, 1407.7893552184107, 2186.0134516507387, 1544.5471754670143], [2161.72591227293, 1484.187980890274, 2388.3589752316475, 1605.5744588375092], [1982.5458797737958, 2662.9233938455577, 2093.7573095038533, 2908.4353631734843], [2072.8737574517727, 866.982195675373, 2378.7770947515965, 973.9805576205252], [1845.487547636032, 2872.827967703342, 2063.7972385883327, 2993.5093697905536]]"
31,584286.jpg,"    prediction_id  x_min  x_max  y_min  y_max  spore_type_id  \
11        1450530   3438   3646   2046   2289              3   

    microscope_image_id  
11               584286  ","    x_center_normalised  y_center_normalised  width_normalised  \
11             0.020684             0.398301          0.041367   

    height_normalised  confidence  x_min        y_min       x_max        y_max  
11            0.03749    0.366023    0.0  1153.850439  167.785209  1267.818587  ",12,output_images_run_5/584286.jpg,"[[1568, 2572, 1700, 2796], [3064, 1656, 3352, 1856], [896, 2608, 1264, 2880], [1, 984, 192, 1144], [3040, 1364, 3280, 1524], [28, 1368, 264, 1468], [1716, 2532, 1892, 3024], [2492, 2584, 2688, 2948], [1420, 955, 1534, 1281], [2743, 1693, 3002, 1960], [1475, 986, 1880, 1559], [3438, 2046, 3646, 2289], [2716, 2007, 2971, 2125]]","[[3030.512776583433, 1366.3704094290733, 3284.022295743227, 1533.7634864449499], [906.4075810611248, 2604.357681274414, 1263.3949001133442, 2879.1855812072754], [2714.3716735839844, 2014.07284617424, 2964.2080965042114, 2119.7082245349884], [2499.1729875952005, 2571.240542531014, 2699.554580077529, 2951.2012451887135], [3058.123462200165, 1612.700777053833, 3421.265326023102, 1853.5967922210693], [24.565544173121353, 1363.3718013763425, 254.47892470657786, 1466.425151824951], [2763.7986567020416, 1697.4803990125656, 2984.274485349655, 1909.1228610277176], [1708.0119929909706, 2536.393505334854, 1907.1785025000572, 3003.5795629024506], [1479.5345852673054, 968.8811838626862, 1866.2372157275677, 1505.2314698696136], [0.27397048473353935, 971.589914560318, 196.1326928436754, 1142.9343450069427], [1566.7145410180094, 2571.399487257004, 1709.8842152953146, 2800.2600967884064], [0.0, 1153.850438892841, 167.78520914912178, 1267.818586528301], [1400.1986929401755, 970.4418206214905, 1515.0585597530003, 1272.5959372520447]]"
32,559678.jpg,"    prediction_id  x_min  x_max  y_min  y_max  spore_type_id  \
9         1436689   2818   2939   1713   2005              3   
10        1436676     39    325   1128   1261              3   
11        1436680    904   1085   2151   2275              3   

    microscope_image_id  
9                559678  
10               559678  
11               559678  ","    x_center_normalised  y_center_normalised  width_normalised  \
1              0.038000             0.640328          0.059194   
7              0.451352             0.681156          0.034310   
8              0.413473             0.690034          0.067761   
14             0.467833             0.558431          0.063786   
15             0.370797             0.604032          0.054729   

    height_normalised  confidence        x_min        y_min        x_max  \
1            0.062933    0.779151    34.084938  1850.938582   274.174950   
7            0.080689    0.575803  1761.100664  1948.065621  1900.263135   
8            0.064831    0.568411  1539.625702  1999.161147  1814.463730   
14           0.057811    0.416310  1768.173989  1609.757106  2026.889824   
15           0.083251    0.360284  1392.964060  1709.715043  1614.944656   

          y_max  
1   2042.254148  
7   2193.360198  
8   2196.248304  
14  1785.501378  
15  1962.799395  ",12,output_images_run_5/559678.jpg,"[[3196, 2520, 3556, 2688], [2592, 2536, 2868, 2744], [1056, 2464, 1276, 2616], [1155, 2097, 1400, 2259], [147, 1000, 433, 1134], [262, 1099, 522, 1280], [522, 2364, 808, 2577], [2665, 2736, 2942, 2889], [2700, 1248, 2882, 1468], [2818, 1713, 2939, 2005], [39, 1128, 325, 1261], [904, 2151, 1085, 2275], [3823, 2765, 4007, 2924], [1543, 2110, 1724, 2434], [2840, 1458, 2939, 1735]]","[[2584.0849884152412, 2531.5030813217163, 2873.7580978274345, 2746.231369972229], [34.08493816852547, 1850.9385818243027, 274.1749502420421, 2042.2541481256485], [1052.420205295086, 2459.962677359581, 1289.5133441090584, 2615.2136570215225], [1565.6816668510437, 2109.361585378647, 1699.165308952331, 2387.8728353977203], [528.1179840266703, 2370.927006006241, 799.4263375103473, 2573.583015203476], [2648.7742821872234, 2742.7646932005878, 2902.6053374111652, 2890.3833475708957], [1175.712914451957, 2092.623278796673, 1390.9939260631797, 2252.9794815182686], [1761.1006644666197, 1948.0656212568283, 1900.2631351053712, 2193.3601981401443], [1539.6257017850874, 1999.1611468791962, 1814.4637295007703, 2196.2483036518097], [251.25507992506041, 1101.3936454057691, 529.0358274579047, 1295.801855921745], [3194.830246478319, 2518.688416182995, 3538.2577490508556, 2688.4748032689095], [137.73311591148382, 992.7464032173158, 444.06898570060724, 1137.3126959800718], [2691.5595964193344, 1243.9199078083038, 2867.288363099098, 1481.6558730602264], [3814.78168040514, 2773.0998179316516, 3981.8649346232414, 2924.1003087162967], [1768.1739894747734, 1609.7571060061455, 2026.8898242115974, 1785.5013778805733], [1392.9640597254038, 1709.7150433063507, 1614.9446559995408, 1962.7993953227997], [2821.4055369347334, 1458.6493968963623, 2934.525656417012, 1766.423101425171]]"
33,2821108.jpg,"    prediction_id  x_min  x_max  y_min  y_max  spore_type_id  \
16        5260087    149    332    859    972              3   

    microscope_image_id  
16              2821108  ","    x_center_normalised  y_center_normalised  width_normalised  \
7              0.316312             0.020098          0.082879   
15             0.796301             0.042516          0.048601   
16             0.973122             0.831035          0.053757   
19             0.706993             0.587095          0.048410   
20             0.022305             0.435746          0.044611   
21             0.012069             0.249499          0.024139   
22             0.764156             0.014418          0.059704   

    height_normalised  confidence        x_min        y_min        x_max  \
7            0.038589    0.836064  1114.881170     2.443491  1451.037787   
15           0.085032    0.775639  3131.232687     0.000000  3328.358666   
16           0.039474    0.770520  3837.962708  2466.346395  4056.000000   
19           0.065670    0.706817  2769.388247  1684.950617  2965.738354   
20           0.049625    0.635176     0.000000  1249.237637   180.940673   
21           0.065503    0.592146     0.000000   658.912638    97.905767   
22           0.028715    0.471570  2978.337446     0.184052  3220.495412   

          y_max  
7    119.755344  
15   258.498552  
16  2586.346152  
19  1884.588568  
20  1400.098854  
21   858.041241  
22    87.477351  ",17,output_images_run_5/2821108.jpg,"[[1796, 948, 2120, 1064], [2484, 2252, 2820, 2368], [1892, 2292, 2244, 2428], [252, 1164, 592, 1280], [2568, 484, 2868, 776], [916, 1332, 1240, 1496], [892, 320, 1276, 472], [104, 620, 400, 764], [3260, 232, 3568, 364], [1684, 2840, 2080, 2976], [2296, 984, 2612, 1140], [76, 2632, 396, 2792], [2216, 780, 2556, 892], [2824, 2464, 3192, 2580], [1588, 2264, 1900, 2404], [2276, 2232, 2500, 2332], [149, 859, 332, 972], [298, 773, 498, 975]]","[[2566.008345723152, 493.416580557823, 2871.6064957380295, 769.9445492029187], [1683.3317580521104, 2834.732252061367, 2076.742404431104, 2972.255453169346], [915.9313040077685, 1327.301914691925, 1238.0516028106208, 1500.2744555473325], [2831.0823748111725, 2461.218159496784, 3198.70761179924, 2580.6771537661552], [2485.7705621123314, 2255.5857503414154, 2826.256644308567, 2370.35333275795], [2215.273890763521, 776.5619215369226, 2553.4801795184612, 894.2981973290442], [1592.2597956061363, 2260.187825858593, 1903.001857817173, 2407.3206427693367], [1114.881169527769, 2.443490624427827, 1451.0377867519855, 119.75534379482265], [253.35331428051003, 1163.1151950359344, 597.5939948558806, 1280.7292187213895], [110.87802493572224, 624.5541447401047, 395.674937188625, 764.3787318468093], [3258.095081090927, 235.1420971751212, 3592.0257561206818, 363.2102444767949], [70.9886053204535, 2628.4237530827522, 396.03146749734844, 2784.421076476574], [889.7083759009839, 322.0557063817978, 1294.017342120409, 478.70399534702284], [2291.1293856203556, 980.1922386884689, 2607.5600675046444, 1141.9572001695633], [1900.138524770737, 2288.6744409799576, 2307.2841703891754, 2424.365853667259], [3131.232687011361, 0.0, 3328.3586664050817, 258.4985518455503], [3837.9627081155777, 2466.3463947176933, 4056.0, 2586.346152126789], [2273.844517931342, 2225.425062775612, 2501.083044782281, 2330.4316610097885], [1803.9897677600381, 949.6125984191895, 2168.1067259609695, 1064.999017715454], [2769.3882468938828, 1684.9506169557571, 2965.7383543252945, 1884.5885676145554], [0.0, 1249.2376366257665, 180.94067287445046, 1400.0988540053365], [0.0, 658.9126378297805, 97.90576726198145, 858.0412405729293], [2978.3374458253384, 0.184051990508875, 3220.495412260294, 87.4773505330083], [287.3962623775005, 778.9016252756118, 461.3716602623461, 954.2823117971419]]"
34,559715.jpg,"    prediction_id  x_min  x_max  y_min  y_max  spore_type_id  \
10        1436360    452    691     25    337              3   

    microscope_image_id  
10               559715  ","    x_center_normalised  y_center_normalised  width_normalised  \
8              0.021983             0.929777          0.043852   
15             0.990224             0.298432          0.019553   

    height_normalised  confidence        x_min        y_min        x_max  \
8            0.072829    0.567176     0.230054  2715.819904   178.092744   
15           0.110280    0.252668  3976.693183   739.607239  4056.000000   

          y_max  
8   2937.221516  
15  1074.859638  ",14,output_images_run_5/559715.jpg,"[[2264, 2276, 2500, 2448], [3738, 2232, 3875, 2501], [304, 2389, 524, 2521], [3439, 2767, 3610, 3045], [1262, 1147, 1385, 1440], [1199, 2159, 1312, 2471], [1274, 2465, 1397, 2796], [1281, 2679, 1526, 2815], [250, 2159, 455, 2304], [1224, 2001, 1372, 2247], [452, 25, 691, 337], [1293, 2304, 1630, 2405], [1139, 2629, 1334, 2821], [1340, 2484, 1593, 2619], [1640, 2818, 1873, 2975]]","[[1290.332973986864, 2301.3451328873634, 1613.9185585677624, 2409.6005114912987], [1212.3258770406246, 2006.216322183609, 1362.3927718698974, 2245.8305871486664], [1134.7475578039887, 2630.16959130764, 1338.2390144616363, 2811.7267328500748], [3437.7726898938417, 2768.1194233894353, 3602.5490588396788, 3040.0], [1347.2301857471466, 2473.8107267022133, 1580.5295011997223, 2595.167907178402], [1190.2718234136698, 2165.110120177269, 1314.06137227267, 2461.369658112526], [288.6385580599308, 2390.2856865525246, 517.527782768011, 2524.65678781271], [1270.1700374409559, 2466.850663423538, 1384.0308759883044, 2744.867514371872], [0.23005391657338375, 2715.8199042081833, 178.09274424612497, 2937.221515774727], [1255.745862364769, 1137.1229362487793, 1382.3226438760757, 1447.8380298614502], [1271.6981383413074, 2681.170372962952, 1506.24000634253, 2811.7546033859257], [3727.460569113493, 2231.3846349716187, 3864.666384011507, 2496.2801599502563], [249.4461147040128, 2156.882972419262, 466.49309666454786, 2304.8739436268806], [1636.9674361646175, 2825.305266976357, 1862.6385804712772, 2978.1070369482045], [2253.544720798731, 2273.8375425338745, 2501.7498014867306, 2449.6136713027954], [3976.693182662129, 739.6072387695312, 4056.0, 1074.859638214111]]"
35,2821089.jpg,"Empty DataFrame
Columns: [prediction_id, x_min, x_max, y_min, y_max, spore_type_id, microscope_image_id]
Index: []","    x_center_normalised  y_center_normalised  width_normalised  \
12             0.461910             0.973226          0.087963   
18             0.516903             0.975172          0.053786   
19             0.150767             0.494525          0.070589   
20             0.988963             0.393197          0.022074   

    height_normalised  confidence        x_min        y_min        x_max  \
12           0.053549    0.671733  1695.117173  2877.211513  2051.894164   
18           0.049657    0.363535  1987.481100  2889.043167  2205.637834   
19           0.061039    0.344557   468.356925  1410.574869   754.666175   
20           0.076873    0.312400  3966.469790  1078.473250  4056.000000   

          y_max  
12  3040.000000  
18  3039.999955  
19  1596.134326  
20  1312.166504  ",18,output_images_run_5/2821089.jpg,"[[1744, 1520, 2180, 1744], [1044, 2004, 1340, 2180], [784, 1728, 1096, 1868], [2716, 524, 2892, 804], [724, 1160, 1020, 1272], [1228, 2644, 1596, 2868], [352, 1684, 564, 1940], [412, 2456, 632, 2772], [472, 1952, 756, 2192], [494, 1666, 710, 1951], [1609, 1997, 1941, 2206], [1500, 2897, 1838, 3026], [3465, 292, 3767, 464], [1105, 11, 1328, 191], [2967, 660, 3255, 886], [2535, 4, 2788, 87], [2459, 1400, 2588, 1646], [3060, 375, 3249, 514]]","[[1052.102854639292, 2000.5794015526772, 1353.5695382058618, 2179.548886716366], [475.8025705218315, 1951.0981076955795, 758.7439718842504, 2192.1465784311295], [406.75625909864897, 2456.3794392347336, 638.7198248952623, 2762.1865779161453], [729.4926213026043, 1160.8189222216606, 1021.8081890344615, 1276.8758085370062], [2723.0110892504454, 524.8390299081802, 2894.047469213605, 793.5301345586776], [1217.7670589983466, 2645.9019368886948, 1605.9058435857294, 2861.9244104623795], [1608.8106529712677, 1989.841074347496, 1904.7802484035492, 2184.311299920082], [356.0293893814084, 1682.280719280243, 566.5314352512355, 1940.9351468086243], [1706.9856160283089, 1512.803207039833, 2179.4435164332385, 1757.4517673254013], [777.6594943106174, 1730.0533148646355, 1091.5488325059412, 1880.5776169896126], [1491.2036095261572, 2928.6036255955696, 1802.8492364287374, 3040.0], [2949.6605992019176, 654.2023587226867, 3224.584661990404, 907.8011775016784], [1695.1171729266644, 2877.211512625217, 2051.894163876772, 3040.0], [2508.5894235670567, 0.0, 2795.6116434037685, 85.27822256088223], [3025.1852730363607, 372.5674626231193, 3213.618627682328, 538.6717227101323], [3421.1453241705894, 305.8923017978669, 3795.101618349552, 465.53921580314613], [462.7435147315264, 1705.3883266448975, 646.7296085804701, 1904.0854740142822], [2451.303048156202, 1402.470697760582, 2575.7063712850213, 1625.2252250909803], [1987.4810995012522, 2889.043166637421, 2205.637834176421, 3039.9999547004704], [468.3569254875181, 1410.5748686194422, 754.6661753654478, 1596.1343255639076], [3966.4697901383042, 1078.4732496738432, 4056.0, 1312.1665036678312], [1068.7306887656448, 7.082490921020529, 1311.190291687846, 197.18500375747655]]"
